Traditional Product,Sustainable Alternative,Material,Brand,Eco-Certifications,Description,Current Price,Rating,img_url,Old Price,Is Discounted
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",6312.15,2.1,https://via.placeholder.com/150,7782.33,True
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",4047.08,1.4,https://via.placeholder.com/150,4990.09,True
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",4325.96,2.4,https://via.placeholder.com/150,5283.38,True
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",2485.02,1.1,https://via.placeholder.com/150,3186.45,True
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4770.84,4.8,https://via.placeholder.com/150,5280.21,True
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",4291.1,1.4,https://via.placeholder.com/150,4031.37,False
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",3400.51,3.8,https://via.placeholder.com/150,3190.68,False
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",5351.01,5.0,https://via.placeholder.com/150,6703.84,True
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",2937.37,3.3,https://via.placeholder.com/150,2833.68,False
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",6950.42,2.4,https://via.placeholder.com/150,8028.28,True
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",4663.77,4.6,https://via.placeholder.com/150,5254.91,True
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",8051.0,2.6,https://via.placeholder.com/150,7623.29,False
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",2592.09,3.1,https://via.placeholder.com/150,2519.43,False
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",7919.03,3.2,https://via.placeholder.com/150,9119.04,True
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",5636.53,1.5,https://via.placeholder.com/150,6230.56,True
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",3202.97,3.2,https://via.placeholder.com/150,3944.08,True
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",1809.4,4.4,https://via.placeholder.com/150,1696.41,False
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",7853.46,3.3,https://via.placeholder.com/150,8743.1,True
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",4913.6,1.1,https://via.placeholder.com/150,5628.28,True
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",1366.18,4.3,https://via.placeholder.com/150,1611.06,True
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5414.09,3.3,https://via.placeholder.com/150,6545.26,True
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",2372.14,4.2,https://via.placeholder.com/150,2822.9,True
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",7125.55,1.0,https://via.placeholder.com/150,8800.99,True
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",7337.2,2.7,https://via.placeholder.com/150,8149.33,True
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",7750.54,3.8,https://via.placeholder.com/150,8997.46,True
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3381.42,3.6,https://via.placeholder.com/150,4240.27,True
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",5946.95,5.0,https://via.placeholder.com/150,6792.12,True
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",2196.18,3.2,https://via.placeholder.com/150,2584.68,True
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",5513.69,1.0,https://via.placeholder.com/150,6397.91,True
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",7048.36,1.1,https://via.placeholder.com/150,6647.4,False
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",6288.08,1.3,https://via.placeholder.com/150,7524.37,True
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",2741.49,3.9,https://via.placeholder.com/150,3109.5,True
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",3704.29,1.3,https://via.placeholder.com/150,4147.77,True
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3942.5,1.8,https://via.placeholder.com/150,3872.95,False
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",1757.11,3.2,https://via.placeholder.com/150,2257.65,True
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4975.02,3.6,https://via.placeholder.com/150,6169.76,True
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",5604.16,1.1,https://via.placeholder.com/150,7111.85,True
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",7016.82,3.3,https://via.placeholder.com/150,8569.04,True
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",1405.19,1.4,https://via.placeholder.com/150,1695.76,True
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",7700.74,4.0,https://via.placeholder.com/150,7171.93,False
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",3405.49,2.9,https://via.placeholder.com/150,4262.3,True
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",2962.27,4.6,https://via.placeholder.com/150,3411.36,True
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",2301.59,2.2,https://via.placeholder.com/150,2868.53,True
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",1265.75,4.8,https://via.placeholder.com/150,1540.61,True
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",7997.05,2.5,https://via.placeholder.com/150,10390.18,True
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5547.72,1.5,https://via.placeholder.com/150,6205.57,True
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",3431.22,2.3,https://via.placeholder.com/150,4380.9,True
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",572.7,1.4,https://via.placeholder.com/150,654.76,True
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",6317.13,2.8,https://via.placeholder.com/150,7510.54,True
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",1951.33,2.7,https://via.placeholder.com/150,2244.06,True
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",854.9,2.7,https://via.placeholder.com/150,783.15,False
Plastic Toothbrush,Bamboo Toothbrush,Bamboo,Brush with Bamboo,FSC Certified,"100% biodegradable handle This product is crafted using sustainable materials, ensuring minimal environmental impact.",6781.1,2.2,https://via.placeholder.com/150,6662.64,False
Liquid Shampoo,Shampoo Bar,Organic Oils,Ethique,"Vegan, Cruelty-Free","Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",5100.35,3.0,https://via.placeholder.com/150,6397.68,True
Plastic Water Bottle,Stainless Steel Bottle,Stainless Steel,Hydro Flask,"BPA-Free, Reusable","Long-lasting and reduces plastic waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",7894.13,3.7,https://via.placeholder.com/150,9183.51,True
Disposable Razor,Safety Razor,Stainless Steel,Merkur,Plastic-Free,"Reusable with replaceable blades This product is crafted using sustainable materials, ensuring minimal environmental impact.",4508.56,1.3,https://via.placeholder.com/150,5337.8,True
Plastic Grocery Bags,Reusable Cotton Bags,Organic Cotton,Baggu,GOTS Certified,"Washable and reusable This product is crafted using sustainable materials, ensuring minimal environmental impact.",5283.78,2.0,https://via.placeholder.com/150,5931.93,True
Paper Towels,Reusable Bamboo Towels,Bamboo,Bambaw,FSC Certified,"Reusable and compostable This product is crafted using sustainable materials, ensuring minimal environmental impact.",2282.5,2.3,https://via.placeholder.com/150,2858.68,True
Plastic Straws,Metal Straws,Stainless Steel,FinalStraw,"BPA-Free, Reusable","Durable and travel-friendly This product is crafted using sustainable materials, ensuring minimal environmental impact.",3039.46,1.5,https://via.placeholder.com/150,3946.93,True
Disposable Coffee Cups,Reusable Coffee Cup,Glass & Silicone,KeepCup,"BPA-Free, Reusable","Reduces single-use waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5022.33,1.2,https://via.placeholder.com/150,6237.63,True
Fast Fashion T-Shirt,Organic Cotton T-Shirt,Organic Cotton,Pact,"Fair Trade, GOTS Certified","Sustainably farmed cotton This product is crafted using sustainable materials, ensuring minimal environmental impact.",3928.39,1.6,https://via.placeholder.com/150,4731.52,True
Conventional Jeans,Recycled Denim Jeans,Recycled Cotton,Levi’s Water<Less,Less Water Usage,"Saves water and reduces waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",6459.89,3.2,https://via.placeholder.com/150,8231.89,True
Plastic Cling Wrap,Beeswax Wrap,Organic Cotton & Beeswax,Bee’s Wrap,Compostable,"Reusable food wrap alternative This product is crafted using sustainable materials, ensuring minimal environmental impact.",6329.58,1.8,https://via.placeholder.com/150,7030.21,True
Plastic Dish Sponge,Loofah Dish Sponge,Loofah Plant,Ecolulu,Compostable,"Biodegradable and plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",6815.96,4.9,https://via.placeholder.com/150,8376.84,True
Conventional Laundry Detergent,Eco-Friendly Detergent Sheets,Plant-Based,Tru Earth,Biodegradable,"Zero-waste, plastic-free This product is crafted using sustainable materials, ensuring minimal environmental impact.",996.83,3.2,https://via.placeholder.com/150,966.03,False
Plastic Cotton Swabs,Bamboo Cotton Swabs,Bamboo & Cotton,LastSwab,Compostable,"Reusable or biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",4069.49,2.6,https://via.placeholder.com/150,4977.8,True
Conventional Notebook,Recycled Paper Notebook,Recycled Paper,Decomposition Book,FSC Certified,"Made from 100% post-consumer waste This product is crafted using sustainable materials, ensuring minimal environmental impact.",5334.41,1.7,https://via.placeholder.com/150,6672.13,True
Plastic Phone Case,Biodegradable Phone Case,Plant-Based,Pela Case,Compostable,"Breaks down naturally This product is crafted using sustainable materials, ensuring minimal environmental impact.",624.99,1.0,https://via.placeholder.com/150,731.95,True
Disposable Batteries,Rechargeable Batteries,Lithium-ion,Eneloop,Energy Efficient,"Reusable for years This product is crafted using sustainable materials, ensuring minimal environmental impact.",3071.0,2.9,https://via.placeholder.com/150,3486.37,True
Non-Recyclable Coffee Pods,Compostable Coffee Pods,Plant-Based,Gourmesso,BPI Certified,"Breaks down naturally in compost This product is crafted using sustainable materials, ensuring minimal environmental impact.",7619.4,3.8,https://via.placeholder.com/150,7595.54,False
Plastic Cutlery,Wooden Cutlery,Bamboo,Bambu,Compostable,"Reusable and biodegradable This product is crafted using sustainable materials, ensuring minimal environmental impact.",3540.78,2.2,https://via.placeholder.com/150,3310.56,False
Single-Use Plastic Bags,Biodegradable Trash Bags,Cornstarch,UNNI,Compostable,"Breaks down in landfill conditions This product is crafted using sustainable materials, ensuring minimal environmental impact.",1184.41,2.5,https://via.placeholder.com/150,1483.9,True
